MovieID,Release_Date,Title,Cast,Director,Genres,Vote_Average
376,2017-07-20,Valerian and the City of a Thousand Planets,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",Luc Besson,"Adventure, Science Fiction, Action",6.629
377,1982-06-25,The Thing,"Kurt Russell, Keith David, Wilford Brimley, T.K. Carter",John Carpenter,"Horror, Mystery, Science Fiction",8.059
378,2007-05-22,Death Proof,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito",Quentin Tarantino,"Action, Thriller",6.837
379,2018-02-22,Annihilation,"Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson",Alex Garland,"Science Fiction, Horror",6.406
380,2004-07-02,The Machinist,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian",Brad Anderson,"Thriller, Drama",7.525
381,2018-07-04,Ant-Man and the Wasp,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins",Peyton Reed,"Action, Adventure, Science Fiction",6.942
382,2016-11-16,Fantastic Beasts and Where to Find Them,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol",David Yates,"Fantasy, Adventure",7.328
383,2018-11-14,Fantastic Beasts: The Crimes of Grindelwald,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol",David Yates,"Fantasy, Adventure",6.863
384,2009-03-04,Watchmen,"Malin Åkerman, Patrick Wilson, Billy Crudup, Matthew Goode",Zack Snyder,"Action, Mystery, Science Fiction",7.336
385,2000-09-15,Almost Famous,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee",Cameron Crowe,"Drama, Music",7.5
386,2011-04-08,Your Highness,"Danny McBride, James Franco, Natalie Portman, Zooey Deschanel",David Gordon Green,"Comedy, Fantasy, Adventure, Action",5.3
387,2021-03-12,Yes Day,"Jennifer Garner, Edgar Ramírez, Jenna Ortega, Julian Lerner",Miguel Arteta,"Family, Comedy",6.7
388,1945-10-04,The True Glory,"Leslie Banks, Robert Harris, Sam Levene, Peter Ustinov",Garson Kanin,"Documentary, War",6.1
389,2005-02-04,The Wedding Date,"Debra Messing, Dermot Mulroney, Amy Adams, Jack Davenport",Clare Kilner,"Romance, Comedy",6.8
390,2004-01-16,Along Came Polly,"Ben Stiller, Jennifer Aniston, Philip Seymour Hoffman, Debra Messing",John Hamburg,"Comedy, Romance",6.0
391,2011-03-24,Collision Earth,"Andrew Airlie, Diane Farr, Kirk Acevedo, Chad Krowchuk",Paul Ziller,"Action, Science Fiction, TV Movie, Drama",6.1
392,2007-01-25,Epic Movie,"Kal Penn, Adam Campbell, Jennifer Coolidge, Jayma Mays",Aaron Seltzer,"Comedy, Adventure, Fantasy",3.868
393,2008-04-25,Harold & Kumar Escape from Guantanamo Bay,"John Cho, Kal Penn, Neil Patrick Harris, Rob Corddry",Hayden Schlossberg,"Comedy, Adventure",6.286
394,2011-11-04,A Very Harold & Kumar Christmas,"John Cho, Kal Penn, Paula Garcés, Neil Patrick Harris",Todd Strauss-Schulson,Comedy,6.0
395,1998-09-04,Lovers of the Arctic Circle,"Najwa Nimri, Fele Martínez, Joost Siedhoff, Peru Medem",Julio Medem,"Drama, Mystery, Romance",7.4
396,2014-10-01,Gone Girl,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",David Fincher,"Mystery, Thriller, Drama",7.893
397,2011-07-29,The Smurfs,"Hank Azaria, Neil Patrick Harris, Jayma Mays, Jonathan Winters",Raja Gosnell,"Animation, Family, Adventure, Comedy, Fantasy",5.76
398,2016-07-07,Star Trek Beyond,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldaña",Justin Lin,"Action, Adventure, Science Fiction",6.8
399,2009-12-15,Avatar,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang",James Cameron,"Action, Adventure, Fantasy, Science Fiction",7.58
400,2017-04-19,Guardians of the Galaxy Vol. 2,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel",James Gunn,"Science Fiction, Adventure, Action",7.621
401,2011-07-15,Deceived,"Jason Gorze, Mike Winkler, Rob Arnold, Stephanie Leonard",Mike Winkler,"Thriller, Crime, Drama",6.9
402,2012-09-07,Dredd,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris",Pete Travis,"Action, Science Fiction",6.824
403,2020-02-26,The Invisible Man,"Elisabeth Moss, Aldis Hodge, Storm Reid, Michael Dorman",Leigh Whannell,"Thriller, Science Fiction, Horror",7.118
404,2015-05-13,Mad Max: Fury Road,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",George Miller,"Action, Adventure, Science Fiction",7.591
405,2014-07-08,Dawn of the Planet of the Apes,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell",Matt Reeves,"Science Fiction, Action, Drama, Thriller",7.312
406,2011-06-01,X-Men: First Class,"James McAvoy, Michael Fassbender, Kevin Bacon, Rose Byrne",Matthew Vaughn,"Action, Science Fiction, Adventure",7.299
407,2015-05-06,Spy,"Melissa McCarthy, Rose Byrne, Jason Statham, Jude Law",Paul Feig,"Action, Comedy, Crime",6.836
408,2015-06-06,Jurassic World,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Nick Robinson",Colin Trevorrow,"Action, Adventure, Science Fiction, Thriller",6.685
409,2012-01-26,The Grey,"Liam Neeson, Dermot Mulroney, Frank Grillo, Dallas Roberts",Joe Carnahan,"Drama, Thriller, Action, Adventure",6.563
410,1997-06-19,My Best Friend's Wedding,"Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett",P.J. Hogan,"Comedy, Romance",6.601
411,2004-05-26,The Day After Tomorrow,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",Roland Emmerich,"Action, Adventure, Science Fiction, Thriller",6.524
412,1998-07-28,The Parent Trap,"Lindsay Lohan, Dennis Quaid, Natasha Richardson, Elaine Hendrix",Nancy Meyers,"Comedy, Family, Romance",7.182
413,2008-02-01,Vantage Point,"Dennis Quaid, Matthew Fox, Forest Whitaker, Sigourney Weaver",Pete Travis,"Drama, Action, Thriller, Crime",6.4
414,2008-11-20,Twilight,"Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli",Catherine Hardwicke,"Fantasy, Drama, Romance",6.29
415,2010-09-16,Easy A,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd",Will Gluck,Comedy,6.81
416,2013-06-12,Man of Steel,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",Zack Snyder,"Action, Adventure, Science Fiction",6.622
417,2023-06-13,The Flash,"Ezra Miller, Sasha Calle, Michael Keaton, Michael Shannon",Andy Muschietti,"Action, Adventure, Science Fiction",6.766
418,2005-09-16,Pride & Prejudice,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland",Joe Wright,"Drama, Romance",8.081
419,2004-12-09,Ocean's Twelve,"George Clooney, Brad Pitt, Matt Damon, Catherine Zeta-Jones",Steven Soderbergh,"Thriller, Crime",6.566
420,2008-08-09,Tropic Thunder,"Ben Stiller, Robert Downey Jr., Jack Black, Jay Baruchel",Ben Stiller,"Action, Comedy, Adventure, War",6.658
421,2006-02-23,V for Vendetta,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry",James McTeigue,"Action, Thriller, Science Fiction",7.899
422,1999-03-31,The Matrix,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",Lana Wachowski,"Action, Science Fiction",8.214
423,1987-11-11,Beatrice,"Julie Delpy, Bernard-Pierre Donnadieu, Monique Chaumette, Robert Dhéry",Bertrand Tavernier,Drama,5.5
424,2014-03-14,Enemy,"Jake Gyllenhaal, Sarah Gadon, Mélanie Laurent, Isabella Rossellini",Denis Villeneuve,"Thriller, Mystery",6.88
425,2014-04-16,The Amazing Spider-Man 2,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan",Marc Webb,"Action, Adventure, Science Fiction",6.505
